fecha,prov_residencia_persona_en_situacion_violencia,genero_persona_en_situacion_de_violencia,edad_persona_en_situacion_de_violencia,pais_nacimiento_persona_en_situacion_de_violencia,tipo_de_violencia_fisica,tipo_de_violencia_psicologica,tipo_de_violencia_sexual,tipo_de_violencia_economica_y_patrimonial,tipo_de_violencia_simbolica,tipo_de_violencia_domestica,modalidad_de_violencia_institucional,modalidad_de_violencia_laboral,modalidad_violencia_contra_libertad_reproductiva,modalidad_de_violencia_obstetrica,modalidad_de_violencia_mediatica,modalidad_de_violencia_otras,vinculo_con_la_persona_agresora,genero_de_la_persona_agresora
2020-01-01,Tucumán,Mujer,,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2020-01-01,Buenos Aires,Mujer,39,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2020-01-01,Buenos Aires,Mujer,22,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2020-01-01,Buenos Aires,Mujer,53,,No,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2020-01-01,Buenos Aires,Mujer,38,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2020-01-01,Buenos Aires,Mujer,23,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2020-01-01,Santiago Del Estero,Mujer,25,Paraguaya,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2020-01-01,Santa Fe,Mujer,24,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2020-01-01,Santa Fe,Mujer,,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2020-01-01,San Juan,Mujer,21,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2020-01-01,Catamarca,Mujer,22,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2020-01-01,Buenos Aires,Mujer,,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,
2020-01-01,Neuquén,Mujer,39,,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,
2020-01-01,Mendoza,Mujer,,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2020-01-01,Córdoba,Mujer,42,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2020-01-01,Tucumán,Mujer,34,Argentina,No,Si,No,Si,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2020-01-01,Río Negro,Mujer,62,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Otro familiar,Varon
2020-01-01,Tucumán,Mujer,22,,No,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2020-01-01,Buenos Aires,Mujer,40,Argentina,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2020-01-01,Mendoza,Mujer,,,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2020-01-01,Ciudad Autónoma de Buenos Aires,Mujer,29,Boliviana,Si,No,No,No,No,Si,No,No,No,No,No,No,Pareja,
2020-01-01,Buenos Aires,Mujer,42,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2020-01-01,Salta,Mujer,23,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2020-01-01,Buenos Aires,Mujer,25,Paraguaya,Si,Si,Si,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
2020-01-01,Santa Fe,Mujer,39,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2020-01-01,Tucumán,Mujer,22,Argentina,Si,Si,Si,No,No,No,No,No,No,No,No,No,Otro,
2020-01-01,Entre Ríos,Mujer,23,,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2020-01-01,Buenos Aires,Mujer,22,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2020-01-01,Ciudad Autónoma de Buenos Aires,Mujer,25,Venezolana,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2020-01-01,Buenos Aires,Mujer,34,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2020-01-01,Córdoba,Mujer,20,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2020-01-01,Buenos Aires,Mujer,31,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2020-01-01,Ciudad Autónoma de Buenos Aires,Mujer,35,Argentina,No,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2020-01-01,Buenos Aires,Mujer,42,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2020-01-01,Buenos Aires,Mujer,,,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2020-01-01,Buenos Aires,Mujer,40,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Padre o tutor,Varon
2020-01-01,Buenos Aires,Mujer,23,Argentina,No,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2020-01-01,Ciudad Autónoma de Buenos Aires,Mujer,20,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,
2020-01-01,Entre Ríos,Mujer,68,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2020-01-01,Santa Fe,Mujer,24,Argentina,No,Si,Si,No,No,No,No,No,No,No,No,No,Otro,Varon
2020-01-01,Buenos Aires,Mujer,16,Argentina,No,Si,Si,No,No,Si,No,No,No,No,No,No,Pareja,
2020-01-01,Buenos Aires,Mujer,41,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2020-01-01,Tucumán,Mujer,38,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2020-01-01,Ciudad Autónoma de Buenos Aires,Mujer,23,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,
2020-01-01,Buenos Aires,Mujer,22,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2020-01-01,Salta,Mujer,22,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2020-01-01,Santa Fe,Mujer,42,Argentina,Si,Si,Si,No,No,Si,No,No,No,No,No,No,Pareja,
2020-01-01,Ciudad Autónoma de Buenos Aires,Mujer,34,Argentina,Si,Si,Si,No,No,No,No,Si,No,No,No,No,Superior jerarquico,Varon
2020-01-01,Buenos Aires,Mujer,31,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2020-01-01,Ciudad Autónoma de Buenos Aires,Mujer,42,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2020-01-01,Buenos Aires,Mujer,,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2020-01-01,Buenos Aires,Mujer,,Argentina,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Pareja,Varon
